Year,Month,NumberOfParticipants
2021,Jan,2
2021,Feb,72
2021,Mar,85
2021,Apr,5
2021,May,42
2021,Jun,46
2021,Jul,91
2021,Aug,57
2021,Sep,23
2021,Oct,13
2021,Nov,10
2021,Dec,7
2022,Jan,15
2022,Feb,135
2022,Mar,96
2022,Apr,35
2022,May,29
2022,Jun,24
2022,Jul,49
2022,Aug,28
2022,Sep,16
2022,Oct,6
2022,Nov,7
2023,Jan,4
2023,Feb,13
2023,Mar,41
2023,May,31
2023,Jun,47
2023,Jul,46
2023,Aug,64
2023,Sep,22
2023,Oct,15
2023,Nov,86
2023,Dec,25
2024,Jan,41
2024,Feb,112
2024,Mar,114
2024,Apr,73
2024,May,33
2024,Jun,16
